English,Note,Reference,Prefix,I,let me,we,we two,you ,you two,you all,he/she/it,they,those two,it,the act itself
aboard,,,min',ye'-nee-shash,,ye'-ghitlh-xat,,ye'-naa~-yash,,xwii-yee-naa~-yash,ye'-nvsh,xwii-ye'-nvsh,,,
act,,,,'ash-dvn,,'aa-ghayt-dvn,,'an-dvn,,'aa-xu-'dvn,'aa-dvn,'aa-ghaa-dvn,,,
admit,,talk,lhvn-xuu,,,,,,,,,,,,
advise,,,,wvn-'vsht-ni,,wvn-'aa-ghit-ni,,wvn-'int-ni,,wvn-'ut-ni,dghvn-'vt'ni,xee-dghvn-'vt-ni,,,
be afraid,,,,neshtlh-ch'vt,,nee-ghaytlh-ch'vt,,nintlh-ch'vt,,nee-xutlh-ch'vt,nelh-ch'vt,nee-ghalh-ch'vt,,,
be afraid of,,,,mii-neshtlh-ch'vt,,mii-nee-ghaytlh-ch'vt,,mii-ninlh-ch'vt,,mii-nee-xutlh-ch'vt,yii-nelh-ch'vt,xee-yii-nelh-ch'vt,,,
aggravated,,,,sri'-gheshtlh-t'e,,xwii-nuu-sri'-gheshtlh-t'e,,nn-sri'-gheshtl-t'e,,nuu-sri'-gheshtlh-t'e,,xuu-sri'-gheshtlh-t'e,,,
being aggravated,,,,sri'-gheshtl-t'e shvtlh-i~,,sri'-gheshtlh-t'e nuu-xwvtlh-i~,,sri'-gheshtlh-t'e nvtlh-i~,,,sri'-ghestlh-t'e yvtlh-i~,,,,
alive,,,,xwvsh-nish,,xwii-naa-ghitlh-t'e xee-nish,,xwin-nish,,xwii-nuthlh-t'e xee-nish,xee-nish,xwii-xwee-nish,,,
allergic to,,,,shghaa-ghee-lelh,,nuu-dghaa-gee-lelh,,nnghaa-ghee-lelh,,xuu-dghaa-ghee-lelh,dghaa-ghee-lelh,xee-dghaa-ghee-lelh,,,
alter,,make/do,shtvn,,,,,,,,,,,,
be ambitious,,work,lhtin',,,,,,,,,,,,
be angry,,,,day-see-svlh,,xwii-nuu-day-me'-svlh,,day-nee-svlh,,xwii-nutlh-t'ee-day-me'-svlh,day-me'-svlh,xwii-day-me'-svlh,,,
apologize for wasting food,,,,sh-ghee-sri~',,,,nn-ghee-sri~',,,dghee-sri~',xuu-ghee-sri~',,,
appreciate,,,,wvn'-shan'-dvshtlh-'in',,wevn-shan'-dghitlh-'in',,wvn'-shan'-dintlh-'in',,wvn'-shan'-dghutlh-'in',wvn'-shan'-dghvtlh-'in',xee-dghvn-shan'-dvtlh-'in',,,
is/are/am,,,,nvsh-li~,,naa-ghit-li~',nit-li~',nii-li~',,nuu-li~',nast-li~',yan-li~',,,
arrest,,,,nastlh-chut,,naa-gaytlh-chut,,nantlh-chut,,naa-xutlh-chut,naa-yvtl-chut,xee-naa-yvtlh-chut,,,
ascend,,,,see-nee-shvsh,,see-ghitlh-xat,,see-naa~-yash,,see-'utlh-xat,see-nvsh,xwii-see-nvsh,,,
"be ashamed, bashful",,,,yaa-dvshtlh-yish,,yaa-ditlh-yish,,yaa-dintlh-yish,,yaa-dutlh-yish,yaa-dvtlh-yish,xwii-yaa-dvtlh-yish,,,
ask,,,,'uu-dvshtlh-xvt,,'uu-ditlh-xvt,,'uu-dintlh-xvt,,'uu-dutlh-xvt,yuu-dvtlh-xvt,xee-yuu-dvtlh-xvt,,,
get back upon,,,,k'wvt-see-nee-shvsh,,k'wvt-see-nit-yvsh,,k'wvt-see-nan-dash,,k'wvt-see-nu'-yvsh,k'wvt-san-dvsh,xwii-k'wvt-san-dvsh,,,
bad power making (doing witchcraft),,,,srii-ghvsht-'alh,,srii-ghit-'alh,,srii-ghint-'alh,,srii-ghutlh-'alh,srii-ghvt-'alh,xee-srii-ghvt-'alh,,,
bail out water,,,xee-nvs min'-'vn'-ne,ta'shtlh-ch'vt,,taa-'itlh-ch'vt,,tantlh-ch'vt,,taa-xutlh-ch'vt,taylh-ch'vt,xee-taylh-ch'vt,,,
bark,,,,dvsht-ni,,dit-ni,,dint-ni,,dut-ni,dvt-ni,yaa-dvt-ni,,,
make a basket,,,,ch'vsh-t'u,,ch'ii-t'u,,ch'ii~-t'u,,xwii-nuu ch'ee-t'u,ch'ee-t'u,yaa-ch'ee-t'u,,,
bathe,,,,na'-dvsh-t'u,,na'-dit-t'u,,na'-din-t'u,,na'-dut-t'u,na'-dvt-t'u,xwii-na'-dvt-t'u,,,
bathe a person or animal,,,,na'shtlh-me',,naytlh-me',,nantlh-me',,nutlh-me',natlh-me',naa-ghalh-me',,,
beathe the deceased,,,,naa'-vsthlh-me',,naa-'itlh-me',,naa-ch'inlh-me',,naa-chutlh-me',naa-yvlh-me',xee-naa-yulh-me',,,
"battling, fighting",,,,naa-xwvsht-xa,,,,,,naa-xutlh-xa,naa-xwvt-xa,xwii-naa-xwvt-xa,,,
bead (on a surface),,sew,"naa-gharsh-detlh-yu mvlh (""with beads"")",,,,,,,,,,,,
string beads,,,,'vsh-'i~'sh,,ghit-i~'sh,,ii~-in'sh,,ghu'-i~sh,yv'-'i~sh,xee-yv'-'i~sh,,,
sew,,,,nashtlh-xat,,naa-ch'aa-ghitlh-xat,,naa-ch'ii~lh-xat,,naa-ch'utlh-xat,natlh-xat,xee-natlh-xat,,,
be beautiful,,,,shaa-nvsh-k'vt,,shaa~-k'vt naa-ghit-li~,,shaa-nii~-k'vt,,shaa~-k'vt nu'li~,shaa~-k'vt,xwii-shaa~-k'vt,,shu'-'utlh-i~,
become,,,,ghvsh-lelh,,ghit-lelh,,ghii~-lelh,,,ghee-lelh,yaa-gha'-lelh,,naa-ghvt-lelh / nat-le,
go to bed,,,,nvsh-tesh,nush-te,nee-ghayt-tesh,nit-tesh,nii~-tesh,,nu'-tesh,nee-tvsh,nee-ghaa-tvsh,,,
begin,,,,xa'shtlh-sri,,xaa-daa-ghitlh-sri,,xantlh-sri,,xaa-ghutlh-sri,xayntlh-sri,xee-xay-ghintlh-sri,,xaytlh-sri,
behave,,,,nuu-ch'vshtlh-ts'it,,naa-waytlh-ts'it,,nuu-ch'ii~lh-ts'it,,nuu-ch'utlh-ts'it,naa-watlh-ts'it,xee-naa-watlh-ts'it,,,
behave badly,,behave,duu-waa,,,,,,,,,,,,
believe,,,,waa-yvshtlh-'an',,waa-'aa-ghitlh-'an',,waa-ghi~lh-'an',,waa-mutlh-'an',waa-yvlh-'an',waa-xee-yvlh-'an',,,
bet,,,,me'shtlh-k'wvt,,mee-'aa-ghitlh-k'wvt,mee-ghitlh-k'wvt,minlh-k'wvt,mee-nutlh-k'wvt,mee-ghutlh-k'wvt,melh-k'wvt,xee-melh-k'wvt,mee-yvlh-k'wvt,,
giving birth,,,,nushtlh-ti~',,nitlh-ti~',,nii~lh-ti',,nu'lh-ti~',nuiilh-ti~',xee-nuiilh-ti~',,,
bite,,,,mesht-ne,,ch'aa-ghit-ne,,mint-ne,,mee-ghu'-ne,yet-ne,xee-yet-ne,,,
bite something crunchy/crisp,,,,'vshtlh-k'vm's,,'aa-ghitlh-k'vm's,,'intlh-k'vm's,,'utlh-k'vm's,yulh-k'vm's,xee-yutlh-k'vm's,,,
bleed,,flow (tr'ee-ghii~-li~'),"XX-dee-le' (""[person's] blood"")",,,,,,,,,,,,dee-le' tree-ghii~-li~'
blind,,,,duu-tee-svs-'i~',,duu-tee-saa-ghit-'i~',,duutee-sii~'i~',,duu-tee-su'-'i~',duu-te's-'i~,dee-tee-gha's-'i~',,,duu-sr-tes-'i~
bloom,,,,,,,,,,,dran-ghee-nvlh,,,,
bloom,,,,,,,,,,,dran'-nii~-nvlh,,,,
bloom,,,,,,,,,,,tr'ee-nii~-nvlh,,,,
blow,,,,'vshtlh-yvmlh,,'aa-witlh-yvmlh,,'inlh-yvmlh,,'uu-xutlh-yvmlh,yvlh-yvmlh,xee-yulh-yvmlh,,,
boil it,,,,'vsh-ler'sh,,ch'it-ler'sh,,'ii~-ler'sh,,ch'u'-ler'sh,ch'vt-ler'sh,yaa-ch'ii-ler'sh,,,
boil,,,,,,,,,,,,,,nvt-mvt,
boil,,,,,,,,,,,,,,nvt-bvt,
box (sport),,,,ta'-drushtlh-ch'vs,,ta'-dritlh-ch'vs,,ta'-drintlh-ch'vs,,ta'-drutlh-ch'vs,ta'-drvlh-ch'vs,xee-ta'-drvlh-ch'vs,,,lhutlh-ch'vs
put things into boxes,,put,"chee-xee-nvs min' (""trunks/containers in"")",,,,,,,,,,,,
brag,,talk,lhtin'-day-wee,,,,,,,,,,,,
beak,,,,k'wesht-srvt,,k'wit-srvt,,kwin-srvt,,kwu'-srvt,kwii-srvt,xwii-kwii-srvt,,,
"break eggs, shells, etc.",,,,'vsh-ch'vlh,,'a-ghit-ch'vlh,,'inlh-ch'vlh,,'utlh-ch'vlh,yvlh-gh'vlh,xee-yvlh-gh'vlh,,,
breathe,Regular verb!!!,,,tvsht-yer'sh,,taa-ghit-yer'sh,,tint-yer'sh,,tu'-yer'sh,tvt-yer'sh,xwii-tvt-yer'sh,,,
bring food,,,,ghvst-'alh,,'aa-ghit-'alh,,ghin'-alh,,ghu-'alh,gha'-'alh,xee-gha'-'alh,,,
bring in liquid,,,,dash-lhe,,dayt-lhe,,dan-lhe,,daa-xu'-lhe,day-lhe,xee-day-lhe,,,
"bring in objects (line, net, rope, wood, etc.)",,,,dash-lesh,,dayt-lesh,,dan-lesh,,daa-xuu-lesh,day-lesh,xee-day-lesh,,,
"bring in living being (person, animal)",,,,dash-lhti~',,dayt-lhti~',,dan-lhti~',,daa-xu'-lhti~',day-lhti~',xee-day-lhti~',,,
"bring inside clothes, fabric, leather",,,,dash-lhchvm's,,daa-ghayt-lhchvm's,,daa~-lhchvm's,,daa-xu'-lhchvm's,day-lhchvm's,xee-day-lhchvm's,,,
burn (a thing),,,,nesh-lvt,,nee-ghit-lvt,,nin-lvt,,nee-xut-lvt,nee-lvt,xwii-nee-lvt,,,
burning an area off,,,,xakshtlh-nvt,,xaa-ghaytlh-nvt,,xanktlh-nvt,,xaa-nutlh-nvt,xaktlh-nvt,xee-xaktlh-nvt,,,
button,,,bat-nvr'sh,waa-'vshtlh-get,,waa-'itlh-k'wvt,,waa-'intlh-k'wvt,,waa-'utlh-k'wvt,waylh-k'wvt,xee-waylh-k'wvt,,,
buy,,,,'ush-xayt,,aa-win-xayt,,'vm-xayt,,uu-xayt,yuu-xayt,yee-yuu-xayt,,,
call/name (a thing),,,,'uush-shi,,'aa-wit-shi,,'vm-shi,,'u'-shi,yuu-shi,xee-yuu-shi,,druu-shi,
camp,,,,shee-ghvtlh-gelh,,nuu-xee-ghvtlh-ghelh,,xwee-ghvtlh-ghelh,,nuu-xwee-ghu'ghelh,mee-ghvtlh-ghelh,xee-metlh-ghelh,,,
"can (food, etc)",,put,ch'aa min' (jar into),,,,,,,,,,,,
play cards,,,,na'sh-le,,naa-ch'it-le,,naa-chii~-le,,naa-ch'u'-le,na'-le,xee-na'-le,,,na'-tr'e-le
"carry in the hands, holding a recepticle",,,,na'sh-xa,,naa-chit-xa,,naa~-xa,,nu'-xa,nay-xa,xee-nay-xa,,,
carry a baby in the arms,,,,nashtlh-'a,,naytlh-'a,,nantlh-'a,,naa-xutlh-'a,natlh-'a,xee-naylh-'a,,,
carry from the hand,,,,nastlh-min'sh,,maytlh-min'sh,,nanlh-min'sh,,naa-xutlh-min'sh,naylh-min'sh,xee-naylh-min'sh,,,
cast a line,,,,ta'shtlh-k'vs,,taytlh-k'vs,,tantlh-k'vs,,taa-xutlh-k'vs,taylh-k'vs,xee-taylh-k'vs,,,
catch,,,,'vshtlh-chut,,'aa-ghitlh-chut,,'ii~lh-chut,,'utlh-chut,yvlh-chut,xee-yvlh-chut,,,
chew,,,,'vsh-'alh,,ch'aa-ghit-'alh,ch'it-'alh,'in-'alh,,ch'u-'alh,ch'aa-'alh,xwii-ch'aa-'alh,,,
